"CG_nb" "CG_coord" "chromosome" "start" "end" "position" "meth_F" "meth_R" "meth_avg" "meth_sd" "meth" "collection" "group" "rep" "clone" "group_ID" "rep_ID" "clone_ID" "alg_coord_start" "alg_coord_end"
"11" "chr16:68771138-68771139" "chr16" 68771138 68771139 68771138 NA 0 0 NA 0 "" "Low methylated DNA" "1" "" "Low methylated DNA" "Low methylated DNA 1" "Low methylated DNA 1 clone" 68771008 68771153
"12" "chr16:68771143-68771144" "chr16" 68771143 68771144 68771143 NA 1.69 1.69 NA 1.69 "" "Low methylated DNA" "1" "" "Low methylated DNA" "Low methylated DNA 1" "Low methylated DNA 1 clone" 68771008 68771153
"13" "chr16:68771150-68771151" "chr16" 68771150 68771151 68771150 NA 1.98 1.98 NA 1.98 "" "Low methylated DNA" "1" "" "Low methylated DNA" "Low methylated DNA 1" "Low methylated DNA 1 clone" 68771008 68771153
"14" "chr16:68771159-68771160" "chr16" 68771159 68771160 68771159 NA NA NA NA NA "" "Low methylated DNA" "1" "" "Low methylated DNA" "Low methylated DNA 1" "Low methylated DNA 1 clone" 68771008 68771153
"15" "chr16:68771182-68771183" "chr16" 68771182 68771183 68771182 NA NA NA NA NA "" "Low methylated DNA" "1" "" "Low methylated DNA" "Low methylated DNA 1" "Low methylated DNA 1 clone" 68771008 68771153
"16" "chr16:68771200-68771201" "chr16" 68771200 68771201 68771200 NA NA NA NA NA "" "Low methylated DNA" "1" "" "Low methylated DNA" "Low methylated DNA 1" "Low methylated DNA 1 clone" 68771008 68771153
"17" "chr16:68771203-68771204" "chr16" 68771203 68771204 68771203 NA NA NA NA NA "" "Low methylated DNA" "1" "" "Low methylated DNA" "Low methylated DNA 1" "Low methylated DNA 1 clone" 68771008 68771153
"1" "chr16:68771035-68771036" "chr16" 68771035 68771036 68771035 NA 13.16 13.16 NA 13.16 "" "Low methylated DNA" "2" "" "Low methylated DNA" "Low methylated DNA 2" "Low methylated DNA 2 clone" 68771008 68771149
"2" "chr16:68771037-68771038" "chr16" 68771037 68771038 68771037 NA 1.33 1.33 NA 1.33 "" "Low methylated DNA" "2" "" "Low methylated DNA" "Low methylated DNA 2" "Low methylated DNA 2 clone" 68771008 68771149
"3" "chr16:68771045-68771046" "chr16" 68771045 68771046 68771045 NA 0 0 NA 0 "" "Low methylated DNA" "2" "" "Low methylated DNA" "Low methylated DNA 2" "Low methylated DNA 2 clone" 68771008 68771149
"4" "chr16:68771051-68771052" "chr16" 68771051 68771052 68771051 NA 1.4 1.4 NA 1.4 "" "Low methylated DNA" "2" "" "Low methylated DNA" "Low methylated DNA 2" "Low methylated DNA 2 clone" 68771008 68771149
"5" "chr16:68771059-68771060" "chr16" 68771059 68771060 68771059 NA 0 0 NA 0 "" "Low methylated DNA" "2" "" "Low methylated DNA" "Low methylated DNA 2" "Low methylated DNA 2 clone" 68771008 68771149
"6" "chr16:68771064-68771065" "chr16" 68771064 68771065 68771064 NA 3.4 3.4 NA 3.4 "" "Low methylated DNA" "2" "" "Low methylated DNA" "Low methylated DNA 2" "Low methylated DNA 2 clone" 68771008 68771149
"7" "chr16:68771073-68771074" "chr16" 68771073 68771074 68771073 NA 0 0 NA 0 "" "Low methylated DNA" "2" "" "Low methylated DNA" "Low methylated DNA 2" "Low methylated DNA 2 clone" 68771008 68771149
"8" "chr16:68771090-68771091" "chr16" 68771090 68771091 68771090 NA 0 0 NA 0 "" "Low methylated DNA" "2" "" "Low methylated DNA" "Low methylated DNA 2" "Low methylated DNA 2 clone" 68771008 68771149
"9" "chr16:68771092-68771093" "chr16" 68771092 68771093 68771092 NA 0 0 NA 0 "" "Low methylated DNA" "2" "" "Low methylated DNA" "Low methylated DNA 2" "Low methylated DNA 2 clone" 68771008 68771149
"10" "chr16:68771112-68771113" "chr16" 68771112 68771113 68771112 NA 0 0 NA 0 "" "Low methylated DNA" "2" "" "Low methylated DNA" "Low methylated DNA 2" "Low methylated DNA 2 clone" 68771008 68771149
"11" "chr16:68771138-68771139" "chr16" 68771138 68771139 68771138 NA 0 0 NA 0 "" "Low methylated DNA" "2" "" "Low methylated DNA" "Low methylated DNA 2" "Low methylated DNA 2 clone" 68771008 68771149
"12" "chr16:68771143-68771144" "chr16" 68771143 68771144 68771143 NA 23.22 23.22 NA 23.22 "" "Low methylated DNA" "2" "" "Low methylated DNA" "Low methylated DNA 2" "Low methylated DNA 2 clone" 68771008 68771149
"13" "chr16:68771150-68771151" "chr16" 68771150 68771151 68771150 NA NA NA NA NA "" "Low methylated DNA" "2" "" "Low methylated DNA" "Low methylated DNA 2" "Low methylated DNA 2 clone" 68771008 68771149
"14" "chr16:68771159-68771160" "chr16" 68771159 68771160 68771159 NA NA NA NA NA "" "Low methylated DNA" "2" "" "Low methylated DNA" "Low methylated DNA 2" "Low methylated DNA 2 clone" 68771008 68771149
"15" "chr16:68771182-68771183" "chr16" 68771182 68771183 68771182 NA NA NA NA NA "" "Low methylated DNA" "2" "" "Low methylated DNA" "Low methylated DNA 2" "Low methylated DNA 2 clone" 68771008 68771149
"16" "chr16:68771200-68771201" "chr16" 68771200 68771201 68771200 NA NA NA NA NA "" "Low methylated DNA" "2" "" "Low methylated DNA" "Low methylated DNA 2" "Low methylated DNA 2 clone" 68771008 68771149
"17" "chr16:68771203-68771204" "chr16" 68771203 68771204 68771203 NA NA NA NA NA "" "Low methylated DNA" "2" "" "Low methylated DNA" "Low methylated DNA 2" "Low methylated DNA 2 clone" 68771008 68771149
"1" "chr16:68771035-68771036" "chr16" 68771035 68771036 68771035 NA 0 0 NA 0 "" "Low methylated DNA" "3" "" "Low methylated DNA" "Low methylated DNA 3" "Low methylated DNA 3 clone" 68771008 68771149
"2" "chr16:68771037-68771038" "chr16" 68771037 68771038 68771037 NA 0 0 NA 0 "" "Low methylated DNA" "3" "" "Low methylated DNA" "Low methylated DNA 3" "Low methylated DNA 3 clone" 68771008 68771149
"3" "chr16:68771045-68771046" "chr16" 68771045 68771046 68771045 NA 0 0 NA 0 "" "Low methylated DNA" "3" "" "Low methylated DNA" "Low methylated DNA 3" "Low methylated DNA 3 clone" 68771008 68771149
"4" "chr16:68771051-68771052" "chr16" 68771051 68771052 68771051 NA 0 0 NA 0 "" "Low methylated DNA" "3" "" "Low methylated DNA" "Low methylated DNA 3" "Low methylated DNA 3 clone" 68771008 68771149
"5" "chr16:68771059-68771060" "chr16" 68771059 68771060 68771059 NA 0 0 NA 0 "" "Low methylated DNA" "3" "" "Low methylated DNA" "Low methylated DNA 3" "Low methylated DNA 3 clone" 68771008 68771149
"6" "chr16:68771064-68771065" "chr16" 68771064 68771065 68771064 NA 0 0 NA 0 "" "Low methylated DNA" "3" "" "Low methylated DNA" "Low methylated DNA 3" "Low methylated DNA 3 clone" 68771008 68771149
"7" "chr16:68771073-68771074" "chr16" 68771073 68771074 68771073 NA 0 0 NA 0 "" "Low methylated DNA" "3" "" "Low methylated DNA" "Low methylated DNA 3" "Low methylated DNA 3 clone" 68771008 68771149
"8" "chr16:68771090-68771091" "chr16" 68771090 68771091 68771090 NA 0 0 NA 0 "" "Low methylated DNA" "3" "" "Low methylated DNA" "Low methylated DNA 3" "Low methylated DNA 3 clone" 68771008 68771149
"9" "chr16:68771092-68771093" "chr16" 68771092 68771093 68771092 NA 0 0 NA 0 "" "Low methylated DNA" "3" "" "Low methylated DNA" "Low methylated DNA 3" "Low methylated DNA 3 clone" 68771008 68771149
"10" "chr16:68771112-68771113" "chr16" 68771112 68771113 68771112 NA 0 0 NA 0 "" "Low methylated DNA" "3" "" "Low methylated DNA" "Low methylated DNA 3" "Low methylated DNA 3 clone" 68771008 68771149
"11" "chr16:68771138-68771139" "chr16" 68771138 68771139 68771138 NA 0 0 NA 0 "" "Low methylated DNA" "3" "" "Low methylated DNA" "Low methylated DNA 3" "Low methylated DNA 3 clone" 68771008 68771149
"12" "chr16:68771143-68771144" "chr16" 68771143 68771144 68771143 NA 0 0 NA 0 "" "Low methylated DNA" "3" "" "Low methylated DNA" "Low methylated DNA 3" "Low methylated DNA 3 clone" 68771008 68771149
"13" "chr16:68771150-68771151" "chr16" 68771150 68771151 68771150 NA NA NA NA NA "" "Low methylated DNA" "3" "" "Low methylated DNA" "Low methylated DNA 3" "Low methylated DNA 3 clone" 68771008 68771149
"14" "chr16:68771159-68771160" "chr16" 68771159 68771160 68771159 NA NA NA NA NA "" "Low methylated DNA" "3" "" "Low methylated DNA" "Low methylated DNA 3" "Low methylated DNA 3 clone" 68771008 68771149
"15" "chr16:68771182-68771183" "chr16" 68771182 68771183 68771182 NA NA NA NA NA "" "Low methylated DNA" "3" "" "Low methylated DNA" "Low methylated DNA 3" "Low methylated DNA 3 clone" 68771008 68771149
"16" "chr16:68771200-68771201" "chr16" 68771200 68771201 68771200 NA NA NA NA NA "" "Low methylated DNA" "3" "" "Low methylated DNA" "Low methylated DNA 3" "Low methylated DNA 3 clone" 68771008 68771149
"17" "chr16:68771203-68771204" "chr16" 68771203 68771204 68771203 NA NA NA NA NA "" "Low methylated DNA" "3" "" "Low methylated DNA" "Low methylated DNA 3" "Low methylated DNA 3 clone" 68771008 68771149
"1" "chr16:68771035-68771036" "chr16" 68771035 68771036 68771035 NA 81.43 81.43 NA 81.43 "" "High methylated DNA" "1" "" "High methylated DNA" "High methylated DNA 1" "High methylated DNA 1 clone" 68771008 68771153
"2" "chr16:68771037-68771038" "chr16" 68771037 68771038 68771037 NA 100 100 NA 100 "" "High methylated DNA" "1" "" "High methylated DNA" "High methylated DNA 1" "High methylated DNA 1 clone" 68771008 68771153
"3" "chr16:68771045-68771046" "chr16" 68771045 68771046 68771045 NA 100 100 NA 100 "" "High methylated DNA" "1" "" "High methylated DNA" "High methylated DNA 1" "High methylated DNA 1 clone" 68771008 68771153
"4" "chr16:68771051-68771052" "chr16" 68771051 68771052 68771051 NA 83.35 83.35 NA 83.35 "" "High methylated DNA" "1" "" "High methylated DNA" "High methylated DNA 1" "High methylated DNA 1 clone" 68771008 68771153
"5" "chr16:68771059-68771060" "chr16" 68771059 68771060 68771059 NA 100 100 NA 100 "" "High methylated DNA" "1" "" "High methylated DNA" "High methylated DNA 1" "High methylated DNA 1 clone" 68771008 68771153
"6" "chr16:68771064-68771065" "chr16" 68771064 68771065 68771064 NA 95.72 95.72 NA 95.72 "" "High methylated DNA" "1" "" "High methylated DNA" "High methylated DNA 1" "High methylated DNA 1 clone" 68771008 68771153
"7" "chr16:68771073-68771074" "chr16" 68771073 68771074 68771073 NA 77.22 77.22 NA 77.22 "" "High methylated DNA" "1" "" "High methylated DNA" "High methylated DNA 1" "High methylated DNA 1 clone" 68771008 68771153
"8" "chr16:68771090-68771091" "chr16" 68771090 68771091 68771090 NA 97.52 97.52 NA 97.52 "" "High methylated DNA" "1" "" "High methylated DNA" "High methylated DNA 1" "High methylated DNA 1 clone" 68771008 68771153
"9" "chr16:68771092-68771093" "chr16" 68771092 68771093 68771092 NA 100 100 NA 100 "" "High methylated DNA" "1" "" "High methylated DNA" "High methylated DNA 1" "High methylated DNA 1 clone" 68771008 68771153
"10" "chr16:68771112-68771113" "chr16" 68771112 68771113 68771112 NA 99.63 99.63 NA 99.63 "" "High methylated DNA" "1" "" "High methylated DNA" "High methylated DNA 1" "High methylated DNA 1 clone" 68771008 68771153
"11" "chr16:68771138-68771139" "chr16" 68771138 68771139 68771138 NA 100 100 NA 100 "" "High methylated DNA" "1" "" "High methylated DNA" "High methylated DNA 1" "High methylated DNA 1 clone" 68771008 68771153
"12" "chr16:68771143-68771144" "chr16" 68771143 68771144 68771143 NA 100 100 NA 100 "" "High methylated DNA" "1" "" "High methylated DNA" "High methylated DNA 1" "High methylated DNA 1 clone" 68771008 68771153
"13" "chr16:68771150-68771151" "chr16" 68771150 68771151 68771150 NA 100 100 NA 100 "" "High methylated DNA" "1" "" "High methylated DNA" "High methylated DNA 1" "High methylated DNA 1 clone" 68771008 68771153
"14" "chr16:68771159-68771160" "chr16" 68771159 68771160 68771159 NA NA NA NA NA "" "High methylated DNA" "1" "" "High methylated DNA" "High methylated DNA 1" "High methylated DNA 1 clone" 68771008 68771153
"15" "chr16:68771182-68771183" "chr16" 68771182 68771183 68771182 NA NA NA NA NA "" "High methylated DNA" "1" "" "High methylated DNA" "High methylated DNA 1" "High methylated DNA 1 clone" 68771008 68771153
"16" "chr16:68771200-68771201" "chr16" 68771200 68771201 68771200 NA NA NA NA NA "" "High methylated DNA" "1" "" "High methylated DNA" "High methylated DNA 1" "High methylated DNA 1 clone" 68771008 68771153
"17" "chr16:68771203-68771204" "chr16" 68771203 68771204 68771203 NA NA NA NA NA "" "High methylated DNA" "1" "" "High methylated DNA" "High methylated DNA 1" "High methylated DNA 1 clone" 68771008 68771153
"1" "chr16:68771035-68771036" "chr16" 68771035 68771036 68771035 NA 83.5 83.5 NA 83.5 "" "High methylated DNA" "2" "" "High methylated DNA" "High methylated DNA 2" "High methylated DNA 2 clone" 68771008 68771153
"2" "chr16:68771037-68771038" "chr16" 68771037 68771038 68771037 NA 100 100 NA 100 "" "High methylated DNA" "2" "" "High methylated DNA" "High methylated DNA 2" "High methylated DNA 2 clone" 68771008 68771153
"3" "chr16:68771045-68771046" "chr16" 68771045 68771046 68771045 NA 100 100 NA 100 "" "High methylated DNA" "2" "" "High methylated DNA" "High methylated DNA 2" "High methylated DNA 2 clone" 68771008 68771153
"4" "chr16:68771051-68771052" "chr16" 68771051 68771052 68771051 NA 84.08 84.08 NA 84.08 "" "High methylated DNA" "2" "" "High methylated DNA" "High methylated DNA 2" "High methylated DNA 2 clone" 68771008 68771153
"5" "chr16:68771059-68771060" "chr16" 68771059 68771060 68771059 NA 100 100 NA 100 "" "High methylated DNA" "2" "" "High methylated DNA" "High methylated DNA 2" "High methylated DNA 2 clone" 68771008 68771153
"6" "chr16:68771064-68771065" "chr16" 68771064 68771065 68771064 NA 95.84 95.84 NA 95.84 "" "High methylated DNA" "2" "" "High methylated DNA" "High methylated DNA 2" "High methylated DNA 2 clone" 68771008 68771153
"7" "chr16:68771073-68771074" "chr16" 68771073 68771074 68771073 NA 77.83 77.83 NA 77.83 "" "High methylated DNA" "2" "" "High methylated DNA" "High methylated DNA 2" "High methylated DNA 2 clone" 68771008 68771153
"8" "chr16:68771090-68771091" "chr16" 68771090 68771091 68771090 NA 98.55 98.55 NA 98.55 "" "High methylated DNA" "2" "" "High methylated DNA" "High methylated DNA 2" "High methylated DNA 2 clone" 68771008 68771153
"9" "chr16:68771092-68771093" "chr16" 68771092 68771093 68771092 NA 100 100 NA 100 "" "High methylated DNA" "2" "" "High methylated DNA" "High methylated DNA 2" "High methylated DNA 2 clone" 68771008 68771153
"10" "chr16:68771112-68771113" "chr16" 68771112 68771113 68771112 NA 99.73 99.73 NA 99.73 "" "High methylated DNA" "2" "" "High methylated DNA" "High methylated DNA 2" "High methylated DNA 2 clone" 68771008 68771153
"11" "chr16:68771138-68771139" "chr16" 68771138 68771139 68771138 NA 100 100 NA 100 "" "High methylated DNA" "2" "" "High methylated DNA" "High methylated DNA 2" "High methylated DNA 2 clone" 68771008 68771153
"12" "chr16:68771143-68771144" "chr16" 68771143 68771144 68771143 NA 100 100 NA 100 "" "High methylated DNA" "2" "" "High methylated DNA" "High methylated DNA 2" "High methylated DNA 2 clone" 68771008 68771153
"13" "chr16:68771150-68771151" "chr16" 68771150 68771151 68771150 NA 100 100 NA 100 "" "High methylated DNA" "2" "" "High methylated DNA" "High methylated DNA 2" "High methylated DNA 2 clone" 68771008 68771153
"14" "chr16:68771159-68771160" "chr16" 68771159 68771160 68771159 NA NA NA NA NA "" "High methylated DNA" "2" "" "High methylated DNA" "High methylated DNA 2" "High methylated DNA 2 clone" 68771008 68771153
"15" "chr16:68771182-68771183" "chr16" 68771182 68771183 68771182 NA NA NA NA NA "" "High methylated DNA" "2" "" "High methylated DNA" "High methylated DNA 2" "High methylated DNA 2 clone" 68771008 68771153
"16" "chr16:68771200-68771201" "chr16" 68771200 68771201 68771200 NA NA NA NA NA "" "High methylated DNA" "2" "" "High methylated DNA" "High methylated DNA 2" "High methylated DNA 2 clone" 68771008 68771153
"17" "chr16:68771203-68771204" "chr16" 68771203 68771204 68771203 NA NA NA NA NA "" "High methylated DNA" "2" "" "High methylated DNA" "High methylated DNA 2" "High methylated DNA 2 clone" 68771008 68771153
"1" "chr16:68771035-68771036" "chr16" 68771035 68771036 68771035 NA 96.39 96.39 NA 96.39 "" "High methylated DNA" "3" "" "High methylated DNA" "High methylated DNA 3" "High methylated DNA 3 clone" 68771008 68771228
"2" "chr16:68771037-68771038" "chr16" 68771037 68771038 68771037 NA 100 100 NA 100 "" "High methylated DNA" "3" "" "High methylated DNA" "High methylated DNA 3" "High methylated DNA 3 clone" 68771008 68771228
"3" "chr16:68771045-68771046" "chr16" 68771045 68771046 68771045 NA 100 100 NA 100 "" "High methylated DNA" "3" "" "High methylated DNA" "High methylated DNA 3" "High methylated DNA 3 clone" 68771008 68771228
"4" "chr16:68771051-68771052" "chr16" 68771051 68771052 68771051 71.13 82.65 76.89 8.15 76.89 "" "High methylated DNA" "3" "" "High methylated DNA" "High methylated DNA 3" "High methylated DNA 3 clone" 68771008 68771228
"5" "chr16:68771059-68771060" "chr16" 68771059 68771060 68771059 83.73 100 91.865 11.5 91.865 "" "High methylated DNA" "3" "" "High methylated DNA" "High methylated DNA 3" "High methylated DNA 3 clone" 68771008 68771228
"6" "chr16:68771064-68771065" "chr16" 68771064 68771065 68771064 100 96.42 98.21 2.53 98.21 "" "High methylated DNA" "3" "" "High methylated DNA" "High methylated DNA 3" "High methylated DNA 3 clone" 68771008 68771228
"7" "chr16:68771073-68771074" "chr16" 68771073 68771074 68771073 70.5 78 74.25 5.3 74.25 "" "High methylated DNA" "3" "" "High methylated DNA" "High methylated DNA 3" "High methylated DNA 3 clone" 68771008 68771228
"8" "chr16:68771090-68771091" "chr16" 68771090 68771091 68771090 99.72 99.4 99.56 0.23 99.56 "" "High methylated DNA" "3" "" "High methylated DNA" "High methylated DNA 3" "High methylated DNA 3 clone" 68771008 68771228
"9" "chr16:68771092-68771093" "chr16" 68771092 68771093 68771092 100 100 100 0 100 "" "High methylated DNA" "3" "" "High methylated DNA" "High methylated DNA 3" "High methylated DNA 3 clone" 68771008 68771228
"10" "chr16:68771112-68771113" "chr16" 68771112 68771113 68771112 99.8 100 99.9 0.14 99.9 "" "High methylated DNA" "3" "" "High methylated DNA" "High methylated DNA 3" "High methylated DNA 3 clone" 68771008 68771228
"11" "chr16:68771138-68771139" "chr16" 68771138 68771139 68771138 100 100 100 0 100 "" "High methylated DNA" "3" "" "High methylated DNA" "High methylated DNA 3" "High methylated DNA 3 clone" 68771008 68771228
"12" "chr16:68771143-68771144" "chr16" 68771143 68771144 68771143 100 100 100 0 100 "" "High methylated DNA" "3" "" "High methylated DNA" "High methylated DNA 3" "High methylated DNA 3 clone" 68771008 68771228
"13" "chr16:68771150-68771151" "chr16" 68771150 68771151 68771150 100 100 100 0 100 "" "High methylated DNA" "3" "" "High methylated DNA" "High methylated DNA 3" "High methylated DNA 3 clone" 68771008 68771228
"14" "chr16:68771159-68771160" "chr16" 68771159 68771160 68771159 99.62 NA 99.62 NA 99.62 "" "High methylated DNA" "3" "" "High methylated DNA" "High methylated DNA 3" "High methylated DNA 3 clone" 68771008 68771228
"15" "chr16:68771182-68771183" "chr16" 68771182 68771183 68771182 100 NA 100 NA 100 "" "High methylated DNA" "3" "" "High methylated DNA" "High methylated DNA 3" "High methylated DNA 3 clone" 68771008 68771228
"16" "chr16:68771200-68771201" "chr16" 68771200 68771201 68771200 100 NA 100 NA 100 "" "High methylated DNA" "3" "" "High methylated DNA" "High methylated DNA 3" "High methylated DNA 3 clone" 68771008 68771228
"17" "chr16:68771203-68771204" "chr16" 68771203 68771204 68771203 100 NA 100 NA 100 "" "High methylated DNA" "3" "" "High methylated DNA" "High methylated DNA 3" "High methylated DNA 3 clone" 68771008 68771228
